function,setting,algorithm,runs,dimension,evaluations_per_run,avg,best,worst,std,params,individual_runs
Sphere,CS-balanced,Cuckoo Search,10,10,10025,4.553780254991714e-06,8.765215124178789e-07,1.2829984818342822e-05,3.5000757891600277e-06,"{""name"": ""CS-balanced"", ""nests_count"": 25, ""iterations"": 200, ""pa"": 0.25, ""alpha"": 0.01}","[7.92719221490419e-06, 6.0868841804201825e-06, 2.9689396051063527e-06, 2.5709393150894507e-06, 3.787362048234703e-06, 1.7368226921863197e-06, 1.2829984818342822e-05, 1.2529537273360566e-06, 5.5002024358791845e-06, 8.765215124178789e-07]"
Sphere,CS-exploratory,Cuckoo Search,10,10,10025,3.012347396153046e-07,3.278560764040463e-08,7.923139350164831e-07,2.6054988971766916e-07,"{""name"": ""CS-exploratory"", ""nests_count"": 25, ""iterations"": 200, ""pa"": 0.25, ""alpha"": 0.05}","[2.7507824233640557e-07, 7.734348411195362e-07, 7.923139350164831e-07, 1.6741045159046607e-07, 3.791169213714421e-07, 3.278560764040463e-08, 7.80012296946554e-08, 2.4340488078467194e-07, 6.53018641790169e-08, 2.0549942241996389e-07]"
Sphere,CS-conservative,Cuckoo Search,10,10,10025,0.0001536559726725173,1.9300988404881527e-06,0.0010342173057363772,0.00029898369319407176,"{""name"": ""CS-conservative"", ""nests_count"": 25, ""iterations"": 200, ""pa"": 0.1, ""alpha"": 0.01}","[1.9300988404881527e-06, 4.259810065898942e-05, 4.544523230670088e-05, 0.0010342173057363772, 1.3779441990035547e-05, 2.8568399287668116e-05, 0.00015010935715171973, 2.288398301649605e-05, 0.0001792992320546934, 1.7728575682004556e-05]"
Sphere,Random Search,Random Search,10,10,10025,13.15035835738578,10.855166335528375,17.321589811544982,1.9148506201527582,"{""evaluations"": 10025}","[14.522027363786869, 12.298439880776984, 12.193838206606127, 10.855166335528375, 12.170936978706159, 11.412779993347424, 17.321589811544982, 14.080089625147647, 14.993771117252765, 11.65494426116048]"
Rastrigin,CS-balanced,Cuckoo Search,10,10,10025,15.346297548851096,6.965965047167799,25.868945551665874,6.145202717618139,"{""name"": ""CS-balanced"", ""nests_count"": 25, ""iterations"": 200, ""pa"": 0.25, ""alpha"": 0.01}","[13.051067934839537, 24.875271725677223, 9.95138438081031, 7.9983615427287305, 18.905747487701518, 25.868945551665874, 13.937143056027509, 14.925694920980504, 6.965965047167799, 16.98339384091196]"
Rastrigin,CS-exploratory,Cuckoo Search,10,10,10025,13.534389100366715,3.9799964618394483,27.85880449900297,7.6954013916131805,"{""name"": ""CS-exploratory"", ""nests_count"": 25, ""iterations"": 200, ""pa"": 0.25, ""alpha"": 0.05}","[6.971820839024247, 3.9799964618394483, 10.960617380014483, 13.9300583458067, 27.85880449900297, 24.875308336785622, 13.929860436442993, 7.960345615746775, 5.972319883823417, 18.904759205180497]"
Rastrigin,CS-conservative,Cuckoo Search,10,10,10025,14.077105169281811,4.246437422907832,23.892930291292174,5.881881646181095,"{""name"": ""CS-conservative"", ""nests_count"": 25, ""iterations"": 200, ""pa"": 0.1, ""alpha"": 0.01}","[10.015031254711246, 23.892930291292174, 8.959995925259548, 19.908665128318702, 17.930771961040122, 7.992904175298477, 4.246437422907832, 12.938142831739242, 16.96591790271394, 17.92025479953682]"
Rastrigin,Random Search,Random Search,10,10,10025,67.69071688870613,58.530852032865305,78.3333968814615,6.072576083802218,"{""evaluations"": 10025}","[60.071081006614364, 58.530852032865305, 71.04581549424412, 69.6253940223055, 63.03680663465987, 64.56827852164031, 65.64108202788705, 74.75454906323326, 78.3333968814615, 71.29991320215001]"
Michalewicz,CS-balanced,Cuckoo Search,10,10,10025,-8.331747099198507,-9.217053076748218,-7.48074420765261,0.49516299173723166,"{""name"": ""CS-balanced"", ""nests_count"": 25, ""iterations"": 200, ""pa"": 0.25, ""alpha"": 0.01}","[-8.987475431652527, -8.5857633779892, -8.40075963495766, -7.740391599075094, -8.170771522997683, -7.48074420765261, -8.087594619422841, -8.391511506621484, -8.255406014867754, -9.217053076748218]"
Michalewicz,CS-exploratory,Cuckoo Search,10,10,10025,-8.597774185528378,-9.378811958163649,-7.048156980696641,0.6931283183172418,"{""name"": ""CS-exploratory"", ""nests_count"": 25, ""iterations"": 200, ""pa"": 0.25, ""alpha"": 0.05}","[-7.962591984192612, -9.007009587582512, -9.378811958163649, -8.679462793261019, -8.857562104630778, -9.108577239422072, -7.048156980696641, -8.04449537032744, -9.3571965436165, -8.533877293390558]"
Michalewicz,CS-conservative,Cuckoo Search,10,10,10025,-8.250064502019294,-9.204156393078751,-6.935981665801193,0.8628487055404231,"{""name"": ""CS-conservative"", ""nests_count"": 25, ""iterations"": 200, ""pa"": 0.1, ""alpha"": 0.01}","[-7.977795671087235, -6.935981665801193, -7.192808223107937, -6.961085982261718, -9.021444498080184, -8.8046632837939, -8.565769648262535, -8.747036071657698, -9.08990358306178, -9.204156393078751]"
Michalewicz,Random Search,Random Search,10,10,10025,-4.803028156072999,-5.1689230664794295,-4.388953679034331,0.2801212256273332,"{""evaluations"": 10025}","[-4.9997691655247065, -4.450950935050875, -5.1689230664794295, -5.158120227768769, -4.818305676347825, -5.0195052411879795, -4.89432911489879, -4.388953679034331, -4.459605718310523, -4.671818736126765]"
