--- Experiment Results for knapsack-20.txt (n=20, W=524) ---

Testing k = 10 (100 runs)
------------------------------
Run 1: Quality = 561, Time = 0.0001s
Run 2: Quality = 433, Time = 0.0001s
Run 3: Quality = 575, Time = 0.0001s
Run 4: Quality = 516, Time = 0.0001s
Run 5: Quality = 651, Time = 0.0001s
Run 6: Quality = 482, Time = 0.0001s
Run 7: Quality = 613, Time = 0.0001s
Run 8: Quality = 443, Time = 0.0001s
Run 9: Quality = 490, Time = 0.0001s
Run 10: Quality = 574, Time = 0.0001s
Run 11: Quality = 478, Time = 0.0001s
Run 12: Quality = 623, Time = 0.0001s
Run 13: Quality = 578, Time = 0.0001s
Run 14: Quality = 536, Time = 0.0001s
Run 15: Quality = 613, Time = 0.0001s
Run 16: Quality = 473, Time = 0.0001s
Run 17: Quality = 530, Time = 0.0001s
Run 18: Quality = 502, Time = 0.0001s
Run 19: Quality = 579, Time = 0.0001s
Run 20: Quality = 565, Time = 0.0001s
Run 21: Quality = 593, Time = 0.0001s
Run 22: Quality = 491, Time = 0.0001s
Run 23: Quality = 591, Time = 0.0001s
Run 24: Quality = 498, Time = 0.0001s
Run 25: Quality = 604, Time = 0.0001s
Run 26: Quality = 523, Time = 0.0001s
Run 27: Quality = 585, Time = 0.0001s
Run 28: Quality = 508, Time = 0.0001s
Run 29: Quality = 676, Time = 0.0001s
Run 30: Quality = 591, Time = 0.0001s
Run 31: Quality = 572, Time = 0.0001s
Run 32: Quality = 551, Time = 0.0001s
Run 33: Quality = 510, Time = 0.0001s
Run 34: Quality = 675, Time = 0.0001s
Run 35: Quality = 505, Time = 0.0001s
Run 36: Quality = 572, Time = 0.0001s
Run 37: Quality = 585, Time = 0.0001s
Run 38: Quality = 564, Time = 0.0001s
Run 39: Quality = 625, Time = 0.0001s
Run 40: Quality = 533, Time = 0.0001s
Run 41: Quality = 468, Time = 0.0001s
Run 42: Quality = 604, Time = 0.0001s
Run 43: Quality = 461, Time = 0.0001s
Run 44: Quality = 568, Time = 0.0001s
Run 45: Quality = 584, Time = 0.0001s
Run 46: Quality = 571, Time = 0.0001s
Run 47: Quality = 548, Time = 0.0001s
Run 48: Quality = 528, Time = 0.0001s
Run 49: Quality = 656, Time = 0.0001s
Run 50: Quality = 595, Time = 0.0001s
Run 51: Quality = 511, Time = 0.0001s
Run 52: Quality = 472, Time = 0.0001s
Run 53: Quality = 595, Time = 0.0001s
Run 54: Quality = 531, Time = 0.0001s
Run 55: Quality = 526, Time = 0.0001s
Run 56: Quality = 666, Time = 0.0001s
Run 57: Quality = 488, Time = 0.0001s
Run 58: Quality = 625, Time = 0.0001s
Run 59: Quality = 560, Time = 0.0001s
Run 60: Quality = 637, Time = 0.0001s
Run 61: Quality = 627, Time = 0.0001s
Run 62: Quality = 553, Time = 0.0001s
Run 63: Quality = 498, Time = 0.0001s
Run 64: Quality = 605, Time = 0.0001s
Run 65: Quality = 588, Time = 0.0001s
Run 66: Quality = 529, Time = 0.0001s
Run 67: Quality = 541, Time = 0.0001s
Run 68: Quality = 573, Time = 0.0001s
Run 69: Quality = 583, Time = 0.0001s
Run 70: Quality = 606, Time = 0.0001s
Run 71: Quality = 604, Time = 0.0001s
Run 72: Quality = 601, Time = 0.0001s
Run 73: Quality = 598, Time = 0.0001s
Run 74: Quality = 472, Time = 0.0001s
Run 75: Quality = 650, Time = 0.0001s
Run 76: Quality = 570, Time = 0.0001s
Run 77: Quality = 513, Time = 0.0001s
Run 78: Quality = 560, Time = 0.0001s
Run 79: Quality = 478, Time = 0.0001s
Run 80: Quality = 693, Time = 0.0001s
Run 81: Quality = 547, Time = 0.0001s
Run 82: Quality = 490, Time = 0.0001s
Run 83: Quality = 638, Time = 0.0001s
Run 84: Quality = 669, Time = 0.0001s
Run 85: Quality = 574, Time = 0.0001s
Run 86: Quality = 383, Time = 0.0001s
Run 87: Quality = 542, Time = 0.0001s
Run 88: Quality = 614, Time = 0.0001s
Run 89: Quality = 576, Time = 0.0001s
Run 90: Quality = 557, Time = 0.0001s
Run 91: Quality = 535, Time = 0.0001s
Run 92: Quality = 590, Time = 0.0001s
Run 93: Quality = 587, Time = 0.0001s
Run 94: Quality = 457, Time = 0.0001s
Run 95: Quality = 607, Time = 0.0001s
Run 96: Quality = 559, Time = 0.0001s
Run 97: Quality = 490, Time = 0.0001s
Run 98: Quality = 496, Time = 0.0001s
Run 99: Quality = 458, Time = 0.0001s
Run 100: Quality = 605, Time = 0.0001s
>> Average Quality for k=10: 557.77

Testing k = 100 (100 runs)
------------------------------
Run 1: Quality = 700, Time = 0.0008s
Run 2: Quality = 617, Time = 0.0008s
Run 3: Quality = 659, Time = 0.0010s
Run 4: Quality = 666, Time = 0.0008s
Run 5: Quality = 667, Time = 0.0008s
Run 6: Quality = 628, Time = 0.0009s
Run 7: Quality = 672, Time = 0.0010s
Run 8: Quality = 651, Time = 0.0008s
Run 9: Quality = 639, Time = 0.0008s
Run 10: Quality = 676, Time = 0.0008s
Run 11: Quality = 653, Time = 0.0008s
Run 12: Quality = 664, Time = 0.0008s
Run 13: Quality = 679, Time = 0.0008s
Run 14: Quality = 663, Time = 0.0008s
Run 15: Quality = 680, Time = 0.0009s
Run 16: Quality = 736, Time = 0.0009s
Run 17: Quality = 699, Time = 0.0009s
Run 18: Quality = 673, Time = 0.0013s
Run 19: Quality = 667, Time = 0.0010s
Run 20: Quality = 666, Time = 0.0008s
Run 21: Quality = 726, Time = 0.0009s
Run 22: Quality = 683, Time = 0.0008s
Run 23: Quality = 647, Time = 0.0008s
Run 24: Quality = 643, Time = 0.0011s
Run 25: Quality = 641, Time = 0.0010s
Run 26: Quality = 651, Time = 0.0010s
Run 27: Quality = 692, Time = 0.0010s
Run 28: Quality = 697, Time = 0.0009s
Run 29: Quality = 611, Time = 0.0008s
Run 30: Quality = 684, Time = 0.0008s
Run 31: Quality = 673, Time = 0.0008s
Run 32: Quality = 659, Time = 0.0008s
Run 33: Quality = 655, Time = 0.0008s
Run 34: Quality = 643, Time = 0.0008s
Run 35: Quality = 636, Time = 0.0008s
Run 36: Quality = 725, Time = 0.0008s
Run 37: Quality = 673, Time = 0.0008s
Run 38: Quality = 633, Time = 0.0009s
Run 39: Quality = 700, Time = 0.0008s
Run 40: Quality = 666, Time = 0.0009s
Run 41: Quality = 737, Time = 0.0008s
Run 42: Quality = 667, Time = 0.0008s
Run 43: Quality = 727, Time = 0.0011s
Run 44: Quality = 673, Time = 0.0011s
Run 45: Quality = 627, Time = 0.0008s
Run 46: Quality = 663, Time = 0.0008s
Run 47: Quality = 650, Time = 0.0008s
Run 48: Quality = 643, Time = 0.0008s
Run 49: Quality = 661, Time = 0.0008s
Run 50: Quality = 621, Time = 0.0008s
Run 51: Quality = 648, Time = 0.0008s
Run 52: Quality = 628, Time = 0.0008s
Run 53: Quality = 716, Time = 0.0008s
Run 54: Quality = 654, Time = 0.0008s
Run 55: Quality = 663, Time = 0.0008s
Run 56: Quality = 652, Time = 0.0008s
Run 57: Quality = 705, Time = 0.0009s
Run 58: Quality = 721, Time = 0.0008s
Run 59: Quality = 698, Time = 0.0008s
Run 60: Quality = 664, Time = 0.0008s
Run 61: Quality = 701, Time = 0.0008s
Run 62: Quality = 636, Time = 0.0008s
Run 63: Quality = 702, Time = 0.0011s
Run 64: Quality = 676, Time = 0.0008s
Run 65: Quality = 646, Time = 0.0008s
Run 66: Quality = 715, Time = 0.0008s
Run 67: Quality = 641, Time = 0.0008s
Run 68: Quality = 635, Time = 0.0008s
Run 69: Quality = 737, Time = 0.0008s
Run 70: Quality = 686, Time = 0.0008s
Run 71: Quality = 669, Time = 0.0008s
Run 72: Quality = 661, Time = 0.0009s
Run 73: Quality = 662, Time = 0.0009s
Run 74: Quality = 625, Time = 0.0008s
Run 75: Quality = 647, Time = 0.0013s
Run 76: Quality = 658, Time = 0.0008s
Run 77: Quality = 591, Time = 0.0009s
Run 78: Quality = 655, Time = 0.0009s
Run 79: Quality = 633, Time = 0.0010s
Run 80: Quality = 691, Time = 0.0009s
Run 81: Quality = 655, Time = 0.0010s
Run 82: Quality = 675, Time = 0.0010s
Run 83: Quality = 664, Time = 0.0008s
